Unnamed: 0,InvoiceNo,date,sales
0,536365,2018-01-12,15.3
1,536365,2018-01-12,20.34
2,536365,2018-01-12,22.0
3,536365,2018-01-12,20.34
4,536365,2018-01-12,20.34
5,536365,2018-01-12,15.3
6,536365,2018-01-12,25.5
7,536366,2018-01-12,11.1
8,536366,2018-01-12,11.1
9,536367,2018-01-12,54.08
10,536367,2018-01-12,12.6
11,536367,2018-01-12,12.6
12,536367,2018-01-12,30.0
13,536367,2018-01-12,9.9
14,536367,2018-01-12,25.5
15,536367,2018-01-12,14.85
16,536367,2018-01-12,19.9
17,536367,2018-01-12,17.85
18,536367,2018-01-12,17.85
19,536367,2018-01-12,31.8
20,536367,2018-01-12,31.8
21,536368,2018-01-12,25.5
22,536368,2018-01-12,14.85
23,536368,2018-01-12,14.85
24,536368,2018-01-12,14.85
25,536369,2018-01-12,17.85
26,536370,2018-01-12,90.0
27,536370,2018-01-12,90.0
28,536370,2018-01-12,45.0
29,536370,2018-01-12,10.2
30,536370,2018-01-12,15.6
31,536370,2018-01-12,40.8
32,536370,2018-01-12,30.0
33,536370,2018-01-12,53.1
34,536370,2018-01-12,70.8
35,536370,2018-01-12,46.8
36,536370,2018-01-12,46.8
37,536370,2018-01-12,46.8
38,536370,2018-01-12,17.0
39,536370,2018-01-12,39.6
40,536370,2018-01-12,70.8
41,536370,2018-01-12,45.0
42,536370,2018-01-12,10.08
43,536370,2018-01-12,10.08
44,536370,2018-01-12,23.4
45,536370,2018-01-12,54.0
46,536371,2018-01-12,204.0
47,536372,2018-01-12,11.1
48,536372,2018-01-12,11.1
49,536373,2018-01-12,15.3
50,536373,2018-01-12,20.34
51,536373,2018-01-12,22.0
52,536373,2018-01-12,29.7
53,536373,2018-01-12,6.36
54,536373,2018-01-12,6.36
55,536373,2018-01-12,6.36
56,536373,2018-01-12,6.36
57,536373,2018-01-12,9.9
58,536373,2018-01-12,27.8
59,536373,2018-01-12,12.6
60,536373,2018-01-12,15.3
61,536373,2018-01-12,20.34
62,536373,2018-01-12,20.34
63,536373,2018-01-12,15.3
64,536373,2018-01-12,25.5
65,536374,2018-01-12,350.4
66,536375,2018-01-12,15.3
67,536375,2018-01-12,20.34
68,536375,2018-01-12,22.0
69,536375,2018-01-12,29.7
70,536375,2018-01-12,6.36
71,536375,2018-01-12,6.36
72,536375,2018-01-12,6.36
73,536375,2018-01-12,6.36
74,536375,2018-01-12,9.9
75,536375,2018-01-12,27.8
76,536375,2018-01-12,12.6
77,536375,2018-01-12,15.3
78,536375,2018-01-12,20.34
79,536375,2018-01-12,20.34
80,536375,2018-01-12,15.3
81,536375,2018-01-12,25.5
82,536376,2018-01-12,165.6
83,536376,2018-01-12,163.2
84,536377,2018-01-12,11.1
85,536377,2018-01-12,11.1
86,536378,2018-01-12,19.5
87,536378,2018-01-12,19.5
88,536378,2018-01-12,29.5
89,536378,2018-01-12,8.5
90,536378,2018-01-12,45.0
91,536378,2018-01-12,22.5
92,536378,2018-01-12,10.2
93,536378,2018-01-12,16.5
94,536378,2018-01-12,15.3
95,536378,2018-01-12,15.3
96,536378,2018-01-12,50.4
